,,,,
YOLOv8-seg,,,,
IoUs:,Car,Trruck,Traffic Light,mIoU
Clone,0.697,0.091,0.116,0.3013333333
Morning,0.676,0.026,0.109,0.2703333333
Rain,0.658,0.04,0.129,0.2756666667
Sunset,0.662,0.066,0.12,0.2826666667
Fog,0.641,0.005,0.099,0.2483333333
Overcast,0.672,0.1,0.13,0.3006666667
,,,,
SAM 3,,,,
IoUs:,Car,Trruck,Traffic Light,mIoU
Clone,0.862256,0.191918,0.337261,0.4638116667
Morning,0.867712,0.202242,0.323584,0.4645126667
Rain,0.85175,0.050587,0.454693,0.4523433333
Sunset,0.865854,0.200383,0.376109,0.480782
Fog,0.85801,0.07936,0.424529,0.4539663333
Overcast,0.85779,0.081968,0.377428,0.439062
,,,,
,,,,
VGGT + CLIP,,,,
IoUs:,Car,Trruck,Traffic Light,mIoU
Clone,0.6845,0.0106,0.0329,0.2426666667
Morning,0.7003,0.0099,0.0195,0.2432333333
Rain,0.6679,0.0086,0.1259,0.2674666667
Sunset,0.6923,0.0106,0.0948,0.2659
Fog,0.6738,0.0014,0.0604,0.2452
Overcast,0.6609,0.0174,0.0941,0.2574666667